# {"analyzer":"char_wb","feature_count":30000,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.1839083824695178,-7.725111325800931,-5.398444811609162,-5.926114894318232,-5.984136354105322,-5.46617221122413],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"char-wb-public-distill-30k-v1","ngram_range":[3,5],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/char-wb-public-distill-30k-v1/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.65,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
 #81	8.33887103441	0.0034265674909	-0.00023637081574	-0.000693103360444	-0.000488063244584	-0.0014296004793	-0.000525648149674
 #818	9.03201821497	0.0035743848306	-0.000250640467035	-0.000732937961162	-0.000512321844775	-0.00153113343405	-0.00055048226647
 #86	8.04463156142	0.00785516953239	-0.000944457587807	-0.00651791898743	-0.00297019545163	-0.00376867078854	-0.00445788570263
 #869	8.42110913265	0.00779752473305	-0.000949983303406	-0.00582011932255	-0.00299970877045	-0.00384523023101	-0.00454722100128
 #87	7.91601418359	0.0185032709972	-0.000425000921448	-0.00158886614645	-0.00114642765164	-0.00117753639914	-0.00151401362839
 #878	8.10525618323	0.0187872730259	-0.000423077449149	-0.00158381406805	-0.00114245449781	-0.00117609160361	-0.00152030939705
 #88	6.59196213135	0.00406898938178	-0.00038241194359	-0.00101219724357	-0.000900917977517	-0.00101236013963	-0.000938751732915
 #888	6.66818949674	0.00401297383311	-0.000378974908464	-0.0010085801271	-0.000899639133114	-0.00100763617409	-0.000933961622252
 #8a	8.04463156142	0.00254613835963	-0.000193659252275	-0.000551757874223	-0.000457864818583	-0.000569563314713	-0.00044920065064
 #8b	6.92021138879	0.0112014907861	-0.000926040713256	-0.00337389639184	-0.00269751897637	-0.00328992279414	-0.00421662676426
